,allow_pets,built_year,condition,deposit,number_of_rooms,postal_code,rent,total_size,type
182,ei sallittu,1998,ei luokiteltu,"570,33",Kaksio,33100,"570,33 €/kk",47 m²,kerrostalo
183,ei sallittu,2017,hyvä,1 kk vuokra,3 huonetta,33900,750 €/kk,"66,5 m²",kerrostalo
184,ei sallittu,2015,hyvä,1kk/350€,3 huonetta,02390,970 €/kk,"63,5 m²",kerrostalo
185,ei tiedossa,1939,hyvä,1440 ,Yksiö,00550,720 €/kk,21 m²,kerrostalo
186,ei tiedossa,2001,tyydyttävä,1180.00,Kaksio,67100,590 €/kk,62 m²,kerrostalo
187,ei tiedossa,1967,ei luokiteltu,690.00,3 huonetta,87300,690 €/kk,72 m²,kerrostalo
188,ei tiedossa,1938,hyvä,1380.00,Yksiö,00330,690 €/kk,23 m²,kerrostalo
189,ei tiedossa,1987,hyvä,1300.00,Yksiö,01360,650 €/kk,38 m²,kerrostalo
190,ei tiedossa,1970,hyvä,1700.00,Kaksio,01300,850 €/kk,59 m²,kerrostalo
191,ei tiedossa,1966,hyvä,2280.00,3 huonetta,00320,1 140 €/kk,62 m²,kerrostalo
192,ei tiedossa,2017,hyvä,1700.00,Kaksio,01400,850 €/kk,48 m²,kerrostalo
193,ei sallittu,1975,hyvä,1200.00,Kaksio,60100,600 €/kk,58 m²,kerrostalo
194,ei sallittu,1975,hyvä,600 €,4 huonetta,38700,600 €/kk,149 m²,omakotitalo
195,ei sallittu,1997,hyvä,noin yhden kuukauden vuokra,3 huonetta,33900,"968,47 €/kk","72,5 m²",kerrostalo
196,ei sallittu,1937,hyvä,noin yhden kuukauden vuokra,Yksiö,00150,949 €/kk,34 m²,kerrostalo
197,ei sallittu,1964,hyvä,1 kuukauden vuokra,Yksiö,90120,480 €/kk,34 m²,kerrostalo
198,ei sallittu,2013,hyvä,"2 kk 1500,00 €",Kaksio,03100,750 €/kk,49 m²,rivitalo
199,ei sallittu,2013,hyvä,"2 kk 1500,00 €",Kaksio,03100,750 €/kk,49 m²,rivitalo
200,ei sallittu,2011,hyvä,"1360,00",Yksiö,02330,680 €/kk,"36,5 m²",kerrostalo
201,ei tiedossa,2017,ei luokiteltu,1500 ,Kaksio,33540,750 €/kk,"44,5 m²",kerrostalo
202,ei sallittu,2017,hyvä,"600,00 e",Yksiö,80220,600 €/kk,30 m²,kerrostalo
203,ei sallittu,1980,hyvä,"1 680,00 e",3 huonetta,33880,840 €/kk,"78,5 m²",kerrostalo
204,ei sallittu,2010,hyvä,"700,00 e",Kaksio,33330,700 €/kk,58 m²,kerrostalo
205,ei sallittu,1975,hyvä,250 €,Kaksio,33720,699 €/kk,62 m²,kerrostalo
206,ei sallittu,2016,hyvä,Sopimuksen mukaan,Kaksio,00950,950 €/kk,48 m²,kerrostalo
207,ei sallittu,2012,hyvä,Sopimuksen mukaan,Kaksio,00990,1 060 €/kk,55 m²,kerrostalo
208,ei sallittu,2015,hyvä,1kk/350€,Kaksio,01640,953 €/kk,53 m²,kerrostalo
209,ei sallittu,2016,hyvä,1 kk:n vuokra,Yksiö,70840,590 €/kk,"31,5 m²",kerrostalo
210,ei sallittu,2005,hyvä,1 kk:n vuokra,Kaksio,90450,550 €/kk,"45,5 m²",kerrostalo
211,ei sallittu,2017,hyvä,"1kk, 350€",Kaksio,02200,935 €/kk,"44,5 m²",kerrostalo
212,ei sallittu,2016,hyvä,1kk/350€,Kaksio,01700,880 €/kk,51 m²,kerrostalo
213,ei tiedossa,2016,hyvä,"382,50",Yksiö,53850,"382,50 €/kk",25 m²,kerrostalo
214,ei sallittu,1939,hyvä,500 €,Yksiö,20810,750 €/kk,"43,5 m²",kerrostalo
