,POSTI_ALUE,built_year,pricePerSquare,rentValue,sizeValue
83,01480,1990.125,14.32495143096531,974.06375,70.4375
84,01510,2001.3076923076924,16.909248423662806,1006.9707692307692,60.51923076923077
85,01520,2000.5,17.527999985944962,986.9,57.5
86,01530,2011.0,18.25270232223707,1007.4545454545455,55.81818181818182
87,01600,1991.7692307692307,18.04543578368591,1009.0317948717948,59.69230769230769
88,01610,2001.75,18.71598793735297,972.625,55.3125
89,01620,2006.6,18.407672383097598,1188.3218095238096,62.180952380952384
90,01630,1986.0,15.192307692307692,790.0,52.0
91,01640,2010.7692307692307,17.923463770529512,994.9230769230769,55.61538461538461
92,01650,1991.75,15.875033919178424,1052.25,65.25
93,01660,1980.0,15.09482363719652,1003.5,66.5
94,01670,1997.0,12.576969384244926,2242.5,222.0
95,01700,2016.75,20.069247641683827,834.9833333333333,43.96666666666667
