,allow_pets,built_year,condition,deposit,number_of_rooms,postal_code,rent,total_size,type
88,ei sallittu,1964,hyvä,750,4 huonetta,67100,750 €/kk,"85,5 m²",kerrostalo
89,ei tiedossa,1968,tyydyttävä,410.00,Kaksio,30100,410 €/kk,50 m²,kerrostalo
90,ei sallittu,1974,hyvä,729,Yksiö,15500,486 €/kk,36 m²,kerrostalo
91,ei sallittu,2016,hyvä,1510,Kaksio,40100,755 €/kk,"47,5 m²",kerrostalo
92,ei tiedossa,2007,hyvä,1990.00,3 huonetta,03400,995 €/kk,"75,6 m²",rivitalo
93,ei sallittu,2007,hyvä,noin yhden kuukauden vuokra,Yksiö,40900,"353,84 €/kk","25,5 m²",rivitalo
94,ei sallittu,2004,hyvä,250,3 huonetta,40320,785 €/kk,66 m²,luhtitalo
95,ei sallittu,2017,hyvä,"0,5kk vuokran suuruinen",Kaksio,90420,640 €/kk,"49,5 m²",kerrostalo
96,ei sallittu,2018,ei luokiteltu,1186.00,3 huonetta,02200,1 186 €/kk,"60,5 m²",kerrostalo
97,ei sallittu,2018,ei luokiteltu,861.00,Yksiö,02200,861 €/kk,"39,5 m²",kerrostalo
98,ei sallittu,2018,ei luokiteltu,929.00,Kaksio,02200,929 €/kk,46 m²,kerrostalo
99,ei sallittu,2016,ei luokiteltu,970.00,3 huonetta,70100,970 €/kk,60 m²,kerrostalo
100,ei sallittu,1910,ei luokiteltu,525.00,Yksiö,90100,525 €/kk,30 m²,kerrostalo
101,ei sallittu,2018,ei luokiteltu,1174.00,3 huonetta,02200,1 174 €/kk,"60,5 m²",kerrostalo
102,ei sallittu,2018,ei luokiteltu,929.00,Kaksio,02200,929 €/kk,46 m²,kerrostalo
103,ei sallittu,2018,ei luokiteltu,919.00,Kaksio,02200,919 €/kk,"45,5 m²",kerrostalo
104,ei sallittu,2018,ei luokiteltu,861.00,Yksiö,02200,861 €/kk,"39,5 m²",kerrostalo
105,ei sallittu,2015,ei luokiteltu,795.00,Kaksio,70840,795 €/kk,"53,5 m²",kerrostalo
106,ei sallittu,2018,ei luokiteltu,919.00,Kaksio,02200,919 €/kk,"45,5 m²",kerrostalo
107,ei sallittu,2017,hyvä,"1kk, yrityksiltä 3kk",Yksiö,04410,690 €/kk,"31,5 m²",kerrostalo
108,ei sallittu,2014,hyvä,1kk tai 350 € väh. vuoden sopimus,Kaksio,04320,809 €/kk,"49,5 m²",kerrostalo
109,ei tiedossa,1959,hyvä,520.00,Kaksio,96400,520 €/kk,46 m²,kerrostalo
110,ei tiedossa,1964,hyvä,400.00,Kaksio,76100,400 €/kk,55 m²,kerrostalo
111,ei tiedossa,2015,hyvä,670.00,Kaksio,96300,670 €/kk,42 m²,kerrostalo
112,ei tiedossa,1930,tyydyttävä,1240.00,Kaksio,33230,620 €/kk,"55,8 m²",kerrostalo
113,ei tiedossa,2012,hyvä,1580.00,Kaksio,00390,790 €/kk,"38,5 m²",kerrostalo
114,ei sallittu,1966,hyvä,1200.00,4 huonetta,28360,600 €/kk,"78,7 m²",kerrostalo
115,ei sallittu,1966,hyvä,1160.00,Kaksio,28100,580 €/kk,62 m²,kerrostalo
116,ei sallittu,1966,hyvä,300.00,Yksiö,26100,"231,35 €/kk",20 m²,kerrostalo
117,ei sallittu,1947,hyvä,450.00,Kaksio,37600,450 €/kk,35 m²,kerrostalo
118,ei tiedossa,1928,hyvä,1000.00,Yksiö,20250,500 €/kk,"26,5 m²",kerrostalo
119,ei sallittu,1968,hyvä,kahden kuukauden vuokra,Kaksio,33840,605 €/kk,"53,5 m²",kerrostalo
120,ei sallittu,1968,hyvä,kahden kuukauden vuokra,Kaksio,33840,605 €/kk,"53,5 m²",kerrostalo
121,ei sallittu,1984,tyydyttävä,800,4 huonetta,44100,800 €/kk,100 m²,omakotitalo
122,ei sallittu,2012,hyvä,1 kk,Kaksio,04410,790 €/kk,40 m²,kerrostalo
123,ei sallittu,1886,hyvä,2 kk rahavakuus,Yksiö,00170,560 €/kk,25 m²,kerrostalo
124,ei tiedossa,1986,hyvä,1390.00,Yksiö,00440,695 €/kk,33 m²,kerrostalo
125,ei sallittu,1976,hyvä,700.00,Yksiö,28190,350 €/kk,"31,5 m²",kerrostalo
126,ei sallittu,2007,hyvä,1kk:n vuokran suuruinen,Kaksio,90420,590 €/kk,49 m²,luhtitalo
127,ei tiedossa,1975,hyvä,250,Yksiö,96500,460 €/kk,37 m²,kerrostalo
128,ei sallittu,1988,hyvä,1/kk vuokra,Kaksio,53100,950 €/kk,80 m²,kerrostalo
129,ei sallittu,1954,hyvä,250.00,3 huonetta,45100,619 €/kk,66 m²,kerrostalo
130,ei sallittu,1974,ei luokiteltu,2 kk,4 huonetta,01200,1 300 €/kk,97 m²,kerrostalo
131,ei sallittu,1998,ei luokiteltu,"2 080,00 €",Yksiö,00500,1 040 €/kk,"52,5 m²",kerrostalo
132,ei sallittu,1996,hyvä,250 €,Yksiö,40100,675 €/kk,"36,5 m²",kerrostalo
133,ei sallittu,1972,hyvä,250 €,3 huonetta,02700,1 438 €/kk,71 m²,kerrostalo
134,ei sallittu,1954,hyvä,250 €,Yksiö,00560,989 €/kk,37 m²,kerrostalo
135,ei sallittu,2017,hyvä,2 kk vuokra,Yksiö,33870,520 €/kk,23 m²,kerrostalo
136,ei sallittu,1977,hyvä,0,3 huonetta,02400,"846,88 €/kk","74,5 m²",kerrostalo
137,ei sallittu,1977,hyvä,0,Kaksio,01200,889 €/kk,62 m²,kerrostalo
138,ei sallittu,1961,hyvä,2 kk:n vuokra,Kaksio,00150,900 €/kk,48 m²,kerrostalo
139,ei sallittu,1999,hyvä,"895,00",Kaksio,20810,895 €/kk,"67,5 m²",kerrostalo
140,ei sallittu,2017,hyvä,2 kk vuokraa vastaava vakuus,Kaksio,01300,850 €/kk,"50,5 m²",kerrostalo
141,ei sallittu,1994,hyvä,1 kk pankkitalletus + 2 kk hlötakaus,3 huonetta,60200,695 €/kk,74 m²,rivitalo
142,ei tiedossa,1984,tyydyttävä,1000.00,Yksiö,48100,500 €/kk,"34,5 m²",kerrostalo
143,ei tiedossa,1993,tyydyttävä,1040.00,Yksiö,20700,520 €/kk,25 m²,kerrostalo
144,ei tiedossa,1981,hyvä,650.00,Kaksio,30100,650 €/kk,64 m²,rivitalo
145,ei tiedossa,1981,hyvä,960.00,Yksiö,06100,480 €/kk,33 m²,kerrostalo
146,ei tiedossa,1982,tyydyttävä,1160.00,Yksiö,01150,580 €/kk,"34,5 m²",kerrostalo
147,ei tiedossa,1934,hyvä,1360.00,Yksiö,00100,680 €/kk,"26,5 m²",kerrostalo
148,ei tiedossa,1982,hyvä,1300.00,Yksiö,00780,650 €/kk,"30,5 m²",kerrostalo
149,ei tiedossa,2003,hyvä,1380.00,Yksiö,00990,690 €/kk,29 m²,kerrostalo
150,ei sallittu,2004,hyvä,1190.00,Kaksio,28100,595 €/kk,48 m²,kerrostalo
151,ei sallittu,1982,hyvä,1340.00,Kaksio,15870,670 €/kk,57 m²,rivitalo
152,ei sallittu,1942,hyvä,1-3 kuukauden vakuus,Yksiö,32700,390 €/kk,41 m²,kerrostalo
153,ei sallittu,1962,hyvä,1380,Kaksio,40100,690 €/kk,40 m²,kerrostalo
154,ei sallittu,2001,hyvä,950.13,3 huonetta,33720,"950,13 €/kk","77,5 m²",luhtitalo
155,ei sallittu,2003,hyvä,noin yhden kuukauden vuokra,3 huonetta,33710,"795,91 €/kk","69,5 m²",kerrostalo
156,ei sallittu,1970,hyvä,950,Yksiö,40250,475 €/kk,"27,5 m²",kerrostalo
157,ei sallittu,1974,hyvä,1580 €,Yksiö,00530,790 €/kk,33 m²,kerrostalo
158,ei sallittu,1974,hyvä,550 €,3 huonetta,38700,550 €/kk,83 m²,paritalo
159,ei sallittu,1977,tyydyttävä,"1 400,00 e",3 huonetta,33720,700 €/kk,"70,5 m²",kerrostalo
160,ei sallittu,1941,tyydyttävä,"900,00 e",Yksiö,33800,450 €/kk,32 m²,kerrostalo
161,ei sallittu,2017,hyvä,250 €,Kaksio,00220,1 339 €/kk,"59,5 m²",kerrostalo
162,ei sallittu,2013,hyvä,250 €,Kaksio,00580,1 262 €/kk,51 m²,kerrostalo
163,ei sallittu,1975,hyvä,250 €,Kaksio,33720,699 €/kk,62 m²,kerrostalo
164,ei sallittu,1971,hyvä,250 €,Kaksio,45700,540 €/kk,62 m²,kerrostalo
165,ei sallittu,1962,tyydyttävä,1 kk vuokra,Yksiö,62200,270 €/kk,23 m²,kerrostalo
166,ei sallittu,1968,hyvä,1 kk vuokra,Kaksio,96200,600 €/kk,44 m²,kerrostalo
167,ei sallittu,1997,hyvä,1 kk vuokra,Yksiö,02660,915 €/kk,49 m²,kerrostalo
168,ei sallittu,2011,hyvä,1 kk vuokra,4 huonetta,00790,1 650 €/kk,"96,5 m²",kerrostalo
