"X","allow_pets","built_year","condition","deposit","number_of_rooms","postal_code","rent","renter","total_size","type"
4815,"ei sallittu",1974,"hyvä","0","3 huonetta",1600,"1122,50 €/kk","Kiinteistö Oy M2-Kodit","73 m²","kerrostalo"
4816,"ei sallittu",1997,"hyvä","0","Kaksio",1350,"924,16 €/kk","Kiinteistö Oy M2-Kodit","59,5 m²","kerrostalo"
4819,"ei sallittu",2016,"ei luokiteltu","2240.00","3 huonetta",1710,"1 120 €/kk","Newsec Asset Management  Oy","68 m²","kerrostalo"
4829,"ei sallittu",1996,"hyvä","1 kk vuokravakuus","Kaksio",2270,"995 €/kk","SATO Vuokraus / Helsinki","55 m²","rivitalo"
4830,"ei sallittu",1994,"hyvä","1 kk vuokravakuus","Kaksio",980,"949 €/kk","SATO Vuokraus / Helsinki","44 m²","kerrostalo"
4831,"ei tiedossa",1998,"hyvä","930","Kaksio",810,"930 €/kk","Realia Asuntovuokraus (co. Keskinäinen Eläkevakuutusyhtiö Ilmarinen)","55,5 m²","kerrostalo"
4832,"ei tiedossa",1965,"hyvä","810","Kaksio",960,"810 €/kk","Realia Asuntovuokraus (co. Keskinäinen Eläkevakuutusyhtiö Ilmarinen)","51 m²","kerrostalo"
4868,"ei sallittu",1972,"hyvä","1474.00","3 huonetta",2360,"1 048 €/kk","SATO Vuokraus / Helsinki","76 m²","kerrostalo"
4869,"ei sallittu",1973,"hyvä","Sopimuksen mukaan","Kaksio",370,"1 100 €/kk","Mari","32 m²","kerrostalo"
4877,"ei sallittu",1976,"hyvä","250 €","Kaksio",420,"995 €/kk","SATO Vuokraus / Helsinki","60,5 m²","kerrostalo"
4882,"ei sallittu",2017,"hyvä","1960","Yksiö",570,"900 €/kk","Aleksi Itkonen","28,5 m²","kerrostalo"
4885,"ei sallittu",2017,"hyvä","3600","Yksiö",570,"1 650 €/kk","Aleksi Itkonen","68,5 m²","kerrostalo"
4894,"ei sallittu",2017,"hyvä","2kk","Yksiö",1700,"720 €/kk","Timo jäntti","25 m²","kerrostalo"
4901,"ei sallittu",2000,"hyvä","1780.00","Kaksio",2600,"890 €/kk","Kiinteistötoimisto Takio LKV [A]","48 m²","kerrostalo"
4902,"ei sallittu",2000,"hyvä","3800.00","3 huonetta",2230,"1 900 €/kk","West-House LKV [A]","127 m²","kerrostalo"
4905,"ei sallittu",2014,"hyvä","250","Kaksio",220,"1 190 €/kk","Ovenia Oy, Helsinki ( Avara)","54 m²","kerrostalo"
4907,"ei sallittu",2014,"hyvä","250","Kaksio",220,"1 020 €/kk","Ovenia Oy, Helsinki ( Avara)","49 m²","kerrostalo"
4912,"ei sallittu",2017,"hyvä","1kk vuokra tai 350 €","Yksiö",2650,"750 €/kk","Realia Asuntovuokraus Pääkaupunkiseutu, Suuromistajien vuokra-asunnot","34 m²","kerrostalo"
4928,"ei sallittu",2014,"hyvä","250 €","Kaksio",2630,"933 €/kk","Lumo-kotikeskus PKS","49,5 m²","kerrostalo"
4935,"ei sallittu",1987,"hyvä","2 kk rahavakuus","Kaksio",930,"1 230 €/kk","Realia Asuntovuokraus Pääkaupunkiseutu, Yksityisomistajien vuokra-asunnot","81 m²","kerrostalo"
4942,"ei sallittu",1971,"hyvä","620 €","Kaksio",2360,"949 €/kk","SATO Vuokraus / Helsinki","62 m²","kerrostalo"
4947,"ei sallittu",1938,"hyvä","1kk+hlö tai 2kk","Yksiö",250,"1 079 €/kk","SATO Vuokraus / Helsinki","36 m²","kerrostalo"
4948,"ei sallittu",2013,"ei luokiteltu","875.00","Kaksio",1300,"875 €/kk","Newsec Asset Management  Oy","42,5 m²","kerrostalo"
4959,"ei sallittu",2005,"hyvä","2kk:n vuokran suuruinen","3 huonetta",2330,"1 400 €/kk","Kiinteistötahkola Helsinki","93 m²","kerrostalo"
4963,"ei sallittu",2002,"hyvä","1kk:n vuokran suuruinen","3 huonetta",980,"1 289 €/kk","SATO Vuokraus / Helsinki","65,5 m²","kerrostalo"
4964,"ei sallittu",1965,"hyvä","1kk:n vuokran suuruinen","Kaksio",920,"1 020 €/kk","SATO Vuokraus / Helsinki","57,4 m²","kerrostalo"
4965,"ei sallittu",1994,"hyvä","1kk:n vuokran suuruinen","Kaksio",1600,"899 €/kk","SATO Vuokraus / Helsinki","49,5 m²","kerrostalo"
4968,"ei sallittu",1978,"hyvä","250 €","Kaksio",2130,"873 €/kk","Lumo-kotikeskus PKS","49 m²","kerrostalo"
4969,"ei sallittu",1971,"hyvä","250 €","Kaksio",1360,"904 €/kk","Lumo-kotikeskus PKS","60 m²","kerrostalo"
4970,"ei sallittu",1982,"hyvä","250 €","3 huonetta",1360,"1 233 €/kk","Lumo-kotikeskus PKS","78 m²","kerrostalo"
4983,"ei sallittu",1971,"hyvä","250 €","Kaksio",1360,"935 €/kk","Lumo-kotikeskus PKS","60 m²","kerrostalo"
4984,"ei sallittu",1984,"hyvä","250 €","3 huonetta",1450,"913 €/kk","Lumo-kotikeskus PKS","66 m²","kerrostalo"
4997,"ei sallittu",2008,"hyvä","250 €","3 huonetta",2620,"1 300 €/kk","Lumo-kotikeskus PKS","71 m²","kerrostalo"
5003,"ei tiedossa",2017,"hyvä","1980.00","Kaksio",380,"990 €/kk","Vuokraturva Oy LKV [A]","43 m²","kerrostalo"
5013,"ei sallittu",2011,"hyvä","250 €","Kaksio",390,"917 €/kk","Lumo-kotikeskus PKS","53,5 m²","kerrostalo"
5015,"ei sallittu",1982,"hyvä","250 €","Kaksio",2230,"884 €/kk","Lumo-kotikeskus PKS","60 m²","kerrostalo"
5018,"ei sallittu",1937,"ei luokiteltu","1390.00","Kaksio",120,"1 390 €/kk","Newsec Asset Management  Oy","49,7 m²","kerrostalo"
5037,"ei sallittu",2012,"hyvä","650 €","3 huonetta",990,"1 565 €/kk","Uusi koti Uutelan tuntumasta!","76,5 m²","kerrostalo"
5038,"ei sallittu",2017,"hyvä","1380.00","Yksiö",2780,"690 €/kk","Ylinkerros Oy Haaga","30 m²","kerrostalo"
5043,"ei sallittu",1973,"hyvä","4 500 €, lisäksi vuokralaisella on oltava laaja kotivakuutus","5 +",1620,"2 100 €/kk","Maija Veiss","185 m²","rivitalo"
5045,"ei tiedossa",2017,"hyvä","1340.00","Yksiö",1400,"670 €/kk","Vuokraturva Oy LKV [A]","30 m²","kerrostalo"
